,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank
133,2002-06-06,DEN,SEN,tie,20,42
134,2002-06-06,CMR,KSA,Home,17,34
135,2002-06-06,FRA,URU,tie,1,24
136,2002-06-07,SWE,NGA,Home,19,27
137,2002-06-07,ARG,ENG,Away,3,12
138,2002-06-07,ESP,PAR,Home,8,18
139,2002-06-08,RSA,SVN,Home,37,25
140,2002-06-08,BRA,CHN,Home,2,50
141,2002-06-08,ITA,CRO,Away,6,21
142,2002-06-09,CRC,TUR,tie,29,22
143,2002-06-09,JPN,RUS,Home,32,28
144,2002-06-09,MEX,ECU,Home,7,36
145,2002-06-10,KOR,USA,tie,40,13
146,2002-06-10,POR,POL,Home,5,38
147,2002-06-10,TUN,BEL,tie,31,23
148,2002-06-11,DEN,FRA,Home,20,1
149,2002-06-11,SEN,URU,tie,42,24
150,2002-06-11,KSA,IRL,Away,34,15
151,2002-06-11,CMR,GER,Away,17,11
152,2002-06-12,SWE,ARG,tie,19,3
153,2002-06-12,NGA,ENG,tie,27,12
154,2002-06-12,SVN,PAR,Away,25,18
155,2002-06-12,RSA,ESP,Away,37,8
156,2002-06-13,CRC,BRA,Away,29,2
157,2002-06-13,TUR,CHN,Home,22,50
158,2002-06-13,ECU,CRO,Home,36,21
159,2002-06-13,MEX,ITA,tie,7,6
160,2002-06-14,TUN,JPN,Away,31,32
161,2002-06-14,POR,KOR,Away,5,40
162,2002-06-14,POL,USA,Home,38,13
163,2002-06-14,BEL,RUS,Home,23,28
164,2002-06-15,DEN,ENG,Away,20,12
165,2002-06-15,GER,PAR,Home,11,18
166,2002-06-16,ESP,IRL,tie,8,15
167,2002-06-16,SWE,SEN,Away,19,42
168,2002-06-17,BRA,BEL,Home,2,23
169,2002-06-17,MEX,USA,Away,7,13
170,2002-06-18,JPN,TUR,Away,32,22
171,2002-06-18,KOR,ITA,Home,40,6
172,2002-06-21,ENG,BRA,Away,12,2
173,2002-06-21,GER,USA,Home,11,13
174,2002-06-22,SEN,TUR,Away,42,22
175,2002-06-22,ESP,KOR,tie,8,40
176,2002-06-25,GER,KOR,Home,11,40
177,2002-06-26,BRA,TUR,Home,2,22
178,2002-06-29,KOR,TUR,Away,40,22
179,2002-06-30,GER,BRA,Away,11,2
180,2006-06-09,GER,CRC,Home,19,26
181,2006-06-09,POL,ECU,Away,29,39
182,2006-06-10,ENG,PAR,Home,10,33
183,2006-06-10,TRI,SWE,tie,47,16
184,2006-06-10,ARG,CIV,Home,9,32
185,2006-06-11,SCG,NED,Away,44,3
186,2006-06-11,MEX,IRN,Home,4,23
187,2006-06-11,ANG,POR,Away,57,7
188,2006-06-12,AUS,JPN,Home,42,18
189,2006-06-12,USA,CZE,Away,5,2
190,2006-06-12,ITA,GHA,Home,13,48
191,2006-06-13,KOR,TOG,Home,29,61
192,2006-06-13,FRA,SUI,tie,8,35
193,2006-06-13,BRA,CRO,Home,1,23
194,2006-06-14,ESP,UKR,Home,5,45
195,2006-06-14,TUN,KSA,tie,21,34
196,2006-06-14,GER,POL,Home,19,29
197,2006-06-15,ECU,CRC,Home,39,26
198,2006-06-15,ENG,TRI,Home,10,47
199,2006-06-15,SWE,PAR,Home,16,33
200,2006-06-16,ARG,SCG,Home,9,44
201,2006-06-16,NED,CIV,Home,3,32
202,2006-06-16,MEX,ANG,tie,4,57
203,2006-06-17,POR,IRN,Home,7,23
204,2006-06-17,CZE,GHA,Away,2,48
205,2006-06-17,ITA,USA,tie,13,5
206,2006-06-18,JPN,CRO,tie,18,23
207,2006-06-18,BRA,AUS,Home,1,42
208,2006-06-18,FRA,KOR,tie,8,29
209,2006-06-19,TOG,SUI,Away,61,35
210,2006-06-19,KSA,UKR,Away,34,45
211,2006-06-19,ESP,TUN,Home,5,21
212,2006-06-20,ECU,GER,Away,39,19
213,2006-06-20,CRC,POL,Away,26,29
214,2006-06-20,SWE,ENG,tie,16,10
215,2006-06-20,PAR,TRI,Home,33,47
216,2006-06-21,IRN,ANG,tie,23,57
217,2006-06-21,POR,MEX,Home,7,4
218,2006-06-21,NED,ARG,tie,3,9
219,2006-06-21,CIV,SCG,Home,32,44
220,2006-06-22,CZE,ITA,Away,2,13
221,2006-06-22,GHA,USA,Home,48,5
222,2006-06-22,JPN,BRA,Away,18,1
223,2006-06-22,CRO,AUS,tie,23,42
224,2006-06-23,UKR,TUN,Home,45,21
225,2006-06-23,KSA,ESP,Away,34,5
226,2006-06-23,TOG,FRA,Away,61,8
227,2006-06-23,SUI,KOR,Home,35,29
228,2006-06-24,GER,SWE,Home,19,16
229,2006-06-24,ARG,MEX,Home,9,4
230,2006-06-25,ENG,ECU,Home,10,39
231,2006-06-25,POR,NED,Home,7,3
232,2006-06-26,ITA,AUS,Home,13,42
233,2006-06-26,SUI,UKR,tie,35,45
234,2006-06-27,BRA,GHA,Home,1,48
235,2006-06-27,ESP,FRA,Away,5,8
236,2006-06-30,GER,ARG,tie,19,9
237,2006-06-30,ITA,UKR,Home,13,45
238,2006-07-01,ENG,POR,tie,10,7
239,2006-07-01,BRA,FRA,Away,1,8
240,2006-07-04,GER,ITA,Away,19,13
241,2006-07-05,POR,FRA,Away,7,8
242,2006-07-08,GER,POR,Home,19,7
243,2006-07-09,ITA,FRA,tie,13,8
244,2010-06-11,RSA,MEX,tie,83,17
245,2010-06-11,URU,FRA,tie,16,9
246,2010-06-12,KOR,GRE,Home,47,13
247,2010-06-12,ARG,NGA,Home,7,21
248,2010-06-12,ENG,USA,tie,8,14
249,2010-06-13,ALG,SVN,Away,30,25
250,2010-06-13,SRB,GHA,Away,15,32
251,2010-06-13,GER,AUS,Home,6,20
252,2010-06-14,NED,DEN,Home,4,36
253,2010-06-14,JPN,CMR,Home,45,19
254,2010-06-14,ITA,PAR,tie,5,31
255,2010-06-15,NZL,SVK,tie,78,34
256,2010-06-15,CIV,POR,tie,27,3
257,2010-06-15,BRA,PRK,Home,1,105
258,2010-06-16,HON,CHI,Away,38,18
259,2010-06-16,ESP,SUI,Away,2,24
260,2010-06-16,RSA,URU,Away,83,16
261,2010-06-17,ARG,KOR,Home,7,47
262,2010-06-17,GRE,NGA,Home,13,21
263,2010-06-17,FRA,MEX,Away,9,17
264,2010-06-18,GER,SRB,Away,6,15
265,2010-06-18,SVN,USA,tie,25,14
266,2010-06-18,ENG,ALG,tie,8,30
267,2010-06-19,NED,JPN,Home,4,45
268,2010-06-19,GHA,AUS,tie,32,20
269,2010-06-19,CMR,DEN,Away,19,36
270,2010-06-20,SVK,PAR,Away,34,31
271,2010-06-20,ITA,NZL,tie,5,78
272,2010-06-20,BRA,CIV,Home,1,27
273,2010-06-21,POR,PRK,Home,3,105
274,2010-06-21,CHI,SUI,Home,18,24
275,2010-06-21,ESP,HON,Home,2,38
276,2010-06-22,MEX,URU,Away,17,16
277,2010-06-22,FRA,RSA,Away,9,83
278,2010-06-22,NGA,KOR,tie,21,47
279,2010-06-22,GRE,ARG,Away,13,7
